city,locality,beds,locality_bed_market_rate
Bangalore,Kannamangala,4,50.0
Bangalore,Kannuru,2,13.0
Bangalore,Kannuru,3,41.0
Bangalore,Kannuru,5,30.0
Bangalore,Kariobanahalli,2,17.0
Bangalore,Kariyammana Agrahara,4,38.0
Bangalore,Kariyammana Agrahara,5,38.0
Bangalore,Karthik Nagar,1,50.0
Bangalore,Kasavanahalli,2,27.0
Bangalore,Kasavanahalli,3,41.5
Bangalore,Kasavanahalli,4,34.0
Bangalore,Kasturi Nagar,2,32.5
Bangalore,Kasturi Nagar,3,31.0
Bangalore,Kasturi Nagar,5,27.0
Bangalore,Kattigenahalli,5,21.0
Bangalore,Kaval Byrasandra,1,22.0
Bangalore,Kaval Byrasandra,2,25.0
Bangalore,Kaval Byrasandra,3,20.0
Bangalore,Kaveri Nagar,2,22.0
Bangalore,Kempapura,3,20.0
Bangalore,Kempapura,4,78.0
Bangalore,Kempapura Agrahara,1,13.0
Bangalore,Kenchenhalli,3,20.0
Bangalore,Kengeri,3,23.0
Bangalore,Kengeri Main Road,3,20.0
Bangalore,Kengeri Satellite Town,1,10.0
Bangalore,Kengeri Satellite Town,2,15.5
Bangalore,Kithaganur Main Road,2,14.0
Bangalore,Kithaganur Main Road,3,18.0
Bangalore,Kodathi,2,29.0
Bangalore,Kodathi,3,19.0
Bangalore,Kodichikknahalli,4,26.0
Bangalore,Kodigehalli,2,27.0
Bangalore,Kodigehalli,3,26.0
Bangalore,Kodigenahalli,2,20.0
Bangalore,Kodihalli,1,46.0
Bangalore,Kodihalli,3,53.0
Bangalore,Kodipalya,3,50.0
Bangalore,Kogilu,3,30.0
Bangalore,Kogilu Main Road,2,32.0
Bangalore,Kogilu Main Road,3,30.0
Bangalore,Konanakunte,1,25.0
Bangalore,Konanakunte,2,21.0
Bangalore,Konanakunte,3,35.0
Bangalore,Konanakunte,4,45.0
Bangalore,Konena Agrahara Murgesh Pallya,1,22.0
Bangalore,Konena Agrahara Murgesh Pallya,2,45.5
Bangalore,Koppa,2,8.0
Bangalore,Koramangala,1,28.0
Bangalore,Koramangala,2,43.5
Bangalore,Koramangala,3,52.0
Bangalore,Koramangala,4,62.0
Bangalore,Koramangala 80 Feet Road,3,52.0
Bangalore,Koramangala Block 4,1,43.0
Bangalore,Koramangala Block 4,2,38.0
Bangalore,Koramangala Block 4,3,58.5
Bangalore,Kothnoor Dinne,3,29.0
Bangalore,Kothnur,1,18.0
Bangalore,Kothnur,2,22.0
Bangalore,Kudlu,4,31.0
Bangalore,Kudlu Gate,2,36.5
Bangalore,Kudlu Gate,3,38.0
Bangalore,Kumara park West,5,30.0
Bangalore,Kumaraswamy Layout,1,20.0
Bangalore,Kumaraswamy Layout,2,20.0
Bangalore,Kumbalgodu,2,23.0
Bangalore,Kundalahalli,1,25.0
Bangalore,Kundalahalli,3,43.0
Bangalore,Kundalahalli,5,33.0
Bangalore,Kundalahalli,8,42.0
Bangalore,Kundalahalli Colony,1,26.0
Bangalore,LBS Nagar,2,23.5
Bangalore,LBS Nagar,4,20.0
Bangalore,Laggere,1,18.0
Bangalore,Lakkasandra Extension,10,36.0
Bangalore,Lakshminarayana Pura,1,60.0
Bangalore,Lakshmipura,3,15.0
Bangalore,Lavakusha Nagar,3,33.0
Bangalore,Lavelle Road,4,135.0
Bangalore,Laxmi Sagar Layout,2,42.0
Bangalore,Laxmi Sagar Layout,3,40.0
Bangalore,Lingarajapuram,1,16.5
Bangalore,Lingarajapuram,2,22.0
Bangalore,Lingarajapuram,3,23.0
Bangalore,MC Layout,2,24.0
Bangalore,MCECHS Layout,2,39.0
Bangalore,MKS Layout,2,25.0
Bangalore,MS Palya,2,16.0
Bangalore,MS Ramaiah City Layout,2,21.0
Bangalore,Madavara,1,11.0
Bangalore,Madhuranagara,2,20.0
Bangalore,Mahadevapura,1,43.5
Bangalore,Mahadevapura,2,35.0
Bangalore,Mahadevapura,3,41.0
Bangalore,Mahadevapura,4,42.0
Bangalore,Mahadevapura Layout,1,28.0
Bangalore,Mahalakshmipuram Layout,3,32.5
Bangalore,Mahatma Gandhi Nagar,3,59.5
Bangalore,Mahatma Gandhi Road,2,60.0
Bangalore,Maithri Layout,3,27.0
Bangalore,Mallasandra Village,3,38.0
Bangalore,Mallathahalli,2,24.0
Bangalore,Malleshpalya,2,14.5
Bangalore,Malleshpalya Main Road,1,11.0
Bangalore,Malleshpalya Main Road,2,29.0
Bangalore,Malleshwaram,1,31.0
Bangalore,Malleshwaram,2,11.0
Bangalore,Malleshwaram,3,30.0
Bangalore,Malleshwaram,4,70.0
Bangalore,Mangammanapalya,1,20.0
Bangalore,ManganaHalli,2,23.0
Bangalore,Manjunatha Layout Munnekollal,1,22.0
Bangalore,Manjunatha Nagar Kalkere,2,25.0
Bangalore,Manorayana Palya,3,16.0
Bangalore,Manyata Residency,4,37.0
Bangalore,Manyata Tech Park,1,42.0
Bangalore,Manyata Tech Park,2,40.0
Bangalore,Manyata Tech Park Road,2,21.0
Bangalore,Marathahalli,1,36.0
Bangalore,Marathahalli,2,32.0
Bangalore,Marathahalli,3,44.0
Bangalore,Marathahalli,4,42.0
Bangalore,Marathahalli Sarjapur Outer Ring Road,3,50.0
Bangalore,Marathahalli village,1,20.0
Bangalore,Marathahalli village,5,46.0
Bangalore,Marenahalli - Vijaynagar,1,13.0
Bangalore,Marenahalli - Vijaynagar,3,18.0
Bangalore,Margondanahalli,2,14.5
Bangalore,Maruthi Nagar Attiguppe,2,30.0
Bangalore,Maruthi Nagar Dasarahalli,4,35.0
Bangalore,Maruthi Nagar Yelahanka,3,100.0
Bangalore,Maruthi Nagar Yelahanka,4,55.0
Bangalore,Maruti Nagar,1,9.0
Bangalore,Matadahalli,1,22.0
Bangalore,Mathikere,2,29.0
Bangalore,Mathikere Extension,3,16.0
Bangalore,Mathrushree Layout Doddamuniswamy Reddy Layout,2,25.0
Bangalore,Mavalli,1,25.0
Bangalore,MedaHalli,2,18.5
Bangalore,Medi Agrahara,2,11.0
Bangalore,Meenakshi Layout Choodasandra,2,20.0
Bangalore,Meenakshi Layout Choodasandra,3,35.0
Bangalore,Michael Palya,1,24.0
Bangalore,Mico Layout,1,45.0
Bangalore,Mico Layout,2,19.0
Bangalore,Mitganahalli,3,29.0
Bangalore,Moodalapalya,2,16.0
Bangalore,Mullur,1,24.0
Bangalore,Mullur,2,26.5
Bangalore,Munikalappa Layout,2,27.0
Bangalore,Munireddy Layout,1,13.0
Bangalore,Munnekollal,1,35.0
Bangalore,Munnekollal,2,30.0
Bangalore,Munnekollal,3,20.0
Bangalore,Murugeshpalya,1,28.5
Bangalore,Murugeshpalya,2,28.0
Bangalore,Murugeshpalya,3,42.5
Bangalore,Muthanallur,5,37.0
Bangalore,Mylappanahalli,4,133.0
Bangalore,Mysore Road,2,5.0
Bangalore,Mysore Road,3,21.5
Bangalore,NR Colony,3,18.0
Bangalore,Naganathapura,1,18.0
Bangalore,Naganathapura,2,21.5
Bangalore,Naganathapura,3,26.0
Bangalore,Nagapura,5,32.0
Bangalore,Nagarbhavi,2,11.0
Bangalore,Nagasandra,2,40.0
Bangalore,Nagasandra,3,35.0
Bangalore,Nagasandra Main Road,4,33.0
Bangalore,Nagavara,1,36.0
Bangalore,Nagavara,2,14.0
Bangalore,Nagavara,3,25.0
Bangalore,Nagavara,4,27.0
Bangalore,Nagdevanahalli,2,18.0
Bangalore,Nagdevanahalli,3,20.0
Bangalore,Nagegowdanapalya,1,64.0
Bangalore,Nagegowdanapalya,3,20.0
Bangalore,Nagondanahalli,1,27.0
Bangalore,Naidu Layout Electronic City,3,46.0
Bangalore,Nallurhalli,1,37.0
Bangalore,Nallurhalli,2,28.0
Bangalore,Nandi Hills,4,33.5
Bangalore,Nandini Layout,3,19.0
Bangalore,Nanjappa Layout Adugodi,1,26.0
Bangalore,Narayanaghatta,3,29.0
Bangalore,Nayandahalli,1,8.0
Bangalore,Neeladri Nagar,1,30.0
Bangalore,Neeladri Nagar,2,22.0
Bangalore,Neeladri Nagar,3,24.0
Bangalore,Neelasandra,1,13.0
Bangalore,Nehru Nagar,2,29.0
