city,locality,locality_market_rate
Bangalore,Soladevanahalli,9.0
Bangalore,Somasundarapalya,29.0
Bangalore,Someshwara Layout,35.0
Bangalore,Sompura,74.0
Bangalore,Spencer Road,20.0
Bangalore,Spice Garden Layout,21.0
Bangalore,Sri Balaji Layout,21.0
Bangalore,Sri Sai Layout,21.0
Bangalore,Srigandha Nagar,20.0
Bangalore,Srinagar,6.0
Bangalore,Srirampuram,32.0
Bangalore,Stage 1st Kumaraswamy Layout,17.0
Bangalore,State Highway 104,33.0
Bangalore,Subbaiahnapalya,18.0
Bangalore,Subs Nagar,37.0
Bangalore,Sudhama Nagar,38.0
Bangalore,Sultanpalya,23.0
Bangalore,Sunkadakatte,14.5
Bangalore,Suryanagar,14.0
Bangalore,Syndicate Bank Colony,26.0
Bangalore,T Dasarahalli,36.0
Bangalore,Talacauvery Layout,27.0
Bangalore,Talaghattapura,24.5
Bangalore,Tata Nagar,24.0
Bangalore,Tavarekere,30.0
Bangalore,Tavarekere BTM Layout,21.0
Bangalore,Teachers Colony -HSR Layout,40.0
Bangalore,Tejaswini Nagar Phase 1,21.0
Bangalore,Thambu Chetty Palya,16.0
Bangalore,Thanisandra,40.0
Bangalore,Thanisandra Main Road,39.0
Bangalore,Thigalarapalya,24.0
Bangalore,Thindlu,22.0
Bangalore,Thirumenahalli,21.0
Bangalore,Thubarahalli,35.0
Bangalore,Thurahalli,14.0
Bangalore,Thyagaraja Nagar,35.0
Bangalore,Trinity Church Road,47.0
Bangalore,Tulasi Layout,23.0
Bangalore,Tumkur Road,33.0
Bangalore,Udaya nagar,20.0
Bangalore,Upkar Layout Whitefield,24.0
Bangalore,Uttarahalli,24.0
Bangalore,Uttarahalli Main Road,25.0
Bangalore,V Kallahalli,27.0
Bangalore,Vagdevi Layout,43.0
Bangalore,Valepura,17.0
Bangalore,Varanasi,22.0
Bangalore,Varthur,32.0
Bangalore,Varthur Kodi,20.0
Bangalore,Vasanth Nagar,70.5
Bangalore,Vasanth Vihar AWHO,23.0
Bangalore,Veerannapalya,40.0
Bangalore,Veerasandra,22.5
Bangalore,Vibhutipura,8.0
Bangalore,Victoria Layout,50.5
Bangalore,Vidhana Soudha Layout,13.0
Bangalore,Vidyaranyapura,19.0
Bangalore,Vignan Nagar,29.5
Bangalore,Vigneshwara Layout Hoysala Nagar,28.0
Bangalore,Vijaya Bank Layout Bommanahalli,28.0
Bangalore,Vijayanagar,22.0
Bangalore,Vijayapura Town,13.0
Bangalore,Vimanapura,17.0
Bangalore,Vinayak Nagar,22.5
Bangalore,Virgonagar Industrial Estate,42.0
Bangalore,Virupakshapura,13.5
Bangalore,Vittal Mallya Road,94.0
Bangalore,Vittasandra Main Road,33.0
Bangalore,Viveka Nagar,30.5
Bangalore,Vyalikaval,36.0
Bangalore,Vyalikaval HBCS Layout,31.0
Bangalore,Whitefield,39.5
Bangalore,Wilson Garden,41.0
Bangalore,Yelachenahalli,15.0
Bangalore,Yelahanka,30.5
Bangalore,Yelahanka Air Force base,33.0
Bangalore,Yelahanka New Town,24.0
Bangalore,Yelenahalli,46.0
Bangalore,Yellappa Chetty Layout,170.0
Bangalore,Yemalur,83.0
Bangalore,Yeswanthpur,30.0
Bangalore,jakkur Plantation,23.0
Mumbai,90 Feet Road,60.5
Mumbai,Aarey Colony,55.0
Mumbai,Abhyudaya Nagar,115.0
Mumbai,Adarsh Nagar Jogeshwari West,81.0
Mumbai,Agar Bazar,133.0
Mumbai,Agripada,107.0
Mumbai,Ajit Nagar,54.0
Mumbai,Amar Nagar Mulund West,51.0
Mumbai,Ambewadi Malad East,68.0
Mumbai,Amboli,73.0
Mumbai,Amrut Nagar Ghatkopar West,100.0
Mumbai,Anand Nagar Dahisar East,57.0
Mumbai,Andheri,60.0
Mumbai,Andheri East,78.0
Mumbai,Andheri West,104.5
Mumbai,Ashok Nagar Kandivali East,42.0
Mumbai,Atur Park,83.0
Mumbai,Azad Nagar Andheri East,92.0
Mumbai,Azad Nagar Andheri West,94.0
Mumbai,Babhai Naka - Borivali West,71.0
Mumbai,Bachani Nagar,59.0
Mumbai,Bandra,156.0
Mumbai,Bandra East,146.5
Mumbai,Bandra Kurla Complex,180.5
Mumbai,Bandra West,177.0
Mumbai,Bangur Nagar,72.0
Mumbai,Barve Nagar,37.0
Mumbai,Battipada,52.0
Mumbai,Best Colony Chembur East,94.0
Mumbai,Best Colony Parel,135.0
Mumbai,Best Nagar - Goregaon West,100.0
Mumbai,Bhakti Park,136.5
Mumbai,Bhandup,60.0
Mumbai,Bhandup East,54.0
Mumbai,Bhandup Village Road,63.0
Mumbai,Bhandup West,62.0
Mumbai,Bhatwadi Ghatkopar West,32.0
Mumbai,Bhayandar East,24.0
Mumbai,Bhayandar West,26.0
Mumbai,Bhoiwada - Parel,134.0
Mumbai,Bolinj,10.0
Mumbai,Borivali,81.0
Mumbai,Borivali East,84.0
Mumbai,Borivali West,69.0
Mumbai,Breach Candy,155.0
Mumbai,Brhmanwada,125.0
Mumbai,Byculla,139.0
Mumbai,Central Area,80.0
Mumbai,Central Avenue Road,114.0
Mumbai,Central Ordanance Depot,49.0
Mumbai,Chakala,76.0
Mumbai,Chakala MIDC,71.0
Mumbai,Chandan Nagar,11.0
Mumbai,Chandivali,93.0
Mumbai,Charkop,78.0
Mumbai,Charni Road,100.0
Mumbai,Chedda Nagar,42.0
Mumbai,Chembur,84.5
Mumbai,Chimaji Nagar,55.0
Mumbai,Chincholi Phatak,91.0
Mumbai,Chinchpokli,79.5
Mumbai,Chunabhatti,90.5
Mumbai,Churchgate,210.0
Mumbai,Citizen Colony,26.0
Mumbai,Colaba,93.5
Mumbai,Cuffe Parade,209.0
Mumbai,Dadar,106.0
Mumbai,Dadar East,120.0
Mumbai,Dadar West,131.5
Mumbai,Dahanukar Wadi,68.5
Mumbai,Dahisar,29.0
Mumbai,Dahisar East,51.0
